question,answer,question_type,is_numeric_answer
Which of these is an ingredient in Befuddlement Draughts?,Sneezewort,MCQ,False
Which of these charms is the dancing-feet jinx?,Tarantallegra,MCQ,False
Which of the following is caused by space weather?,Auroras.,MCQ,False
Which of the following was a reason why the 14th century witch burnings were pointless?,Flame-Freezing Charm,MCQ,False
Which of the following traits does the Occamy exhibit?,Choranaptyxis,MCQ,False
Which of these plants bloom instantly?,Puffapod,MCQ,False
Which of the following is not a Horcrux?,Elder Wand,MCQ,False
Which of these is needed for successful broom casting?,Balance,MCQ,False
Which of the following could very well be a Chameleon Ghoul?,Coat Rack,MCQ,False
Which of the following is NOT a type of Transfiguration?,Summoning,MCQ,False
Which of these is an ancient predecessor to Quidditch?,Creaothceann.,MCQ,False
Which of the following is another dive commonly used by Seekers?,Spiral Dive,MCQ,False
Screechsnaps are capable of doing which of the following?,Move & Make Noise,MCQ,False
Which of these titles or identities has not been held by Harry Potter?,SPEW Treasurer,MCQ,False
Which of the following was not a breed of Dragon faced by the Triwizard Tournament Champions?,Norwegian Ridgeback,MCQ,False
Which of these creatures' blood will keep a human alive?,Unicorn,MCQ,False
Which of the following is NOT a type of Dark Magic?,Charm,MCQ,False
In which of these scenarios would you use the impediment jinx?,To slow a rushing opponent.,MCQ,False
Which of these is not a cleaning spell?,Confrigo,MCQ,False
Which of these spells is a severing charm?,Diffindo,MCQ,False
Which of these spells keeps a charm stable?,Fianto Duri,MCQ,False
"According to Madam Hooch, which of the following increases your chances of falling to your death? Maybe you should take these as suggestions.",Long hair,MCQ,False
Which of these spells can summon an object?,Accio,MCQ,False
Which one of the following is not a founder of Hogwarts?,Helena Ravenclaw,MCQ,False
Which of these books covers ancient runes?,Spellman's Syllabery,MCQ,False
An intended transformation is directly influenced by which of the following?,Concentration,MCQ,False
Which of these tasks can not be aided by a Vanishing Spell?,Dancing,MCQ,False
Which of the following books was not written by Rita Skeeter?,Easy Spells to fool Muggles,MCQ,False
Which of the following is a side effect of Wiggenweld Potion?,Healing injuries,MCQ,False
Which of these is an ingredient in Polyjuice Potion?,Powdered Bicorn Horn,MCQ,False
Which of these is a Wiggenweld potion ingredient from the sea?,Lionfish Spine,MCQ,False
Which of the following would be the easiest Transfiguration?,Porcupine to Pincushion,MCQ,False
In which of these scenarios would you use Cistem Aperio?,Blasting Open a Locked Trunk,MCQ,False
"Who is NOT in Slytherin: Lavender Brown, Pansy Parkinson, Blaise Zabini, or Gregory Goyle?",Lavender Brown,MCQ,False
Which of the following reptile's blood is used for Wiggenweld Potion?,Salamander,MCQ,False
Which of the following is NOT another name for Belladonna?,Flitterbloom,MCQ,False
Which of these is not a species of dragon?,Finnish Flamethrower,MCQ,False
"Who is NOT in Gryffindor: Harry Potter, Ron Weasley, Draco Malfoy, or Ginny Weasley?",Draco Malfoy,MCQ,False
Which of the following creatures eat Fairy Eggs?,Bowtruckles,MCQ,False
Which of the following Charms did we learn in the first year?,Knockback Jinx,MCQ,False
Which of these factors does not affect Transfiguration?,Hue,MCQ,False
Which of these being does not live on the Hogwarts grounds?,Goblins,MCQ,False
Which of the following is NOT an ingredient in the Antidote to Common Potions?,Red Myrrh,MCQ,False
Which of these plants has healing properties?,Dittany,MCQ,False
Which of these plants doesn't bite?,Whomping Willow,MCQ,False
Which of these plants is a Class C non-traceable substance?,Venomous Tentacula,MCQ,False
An Infusion of Wormwood is NOT an ingredient in which of these potions?,Beautification Potion,MCQ,False
Which of these spells does not make something smaller?,Reducto,MCQ,False
Which of these birds is a relative of the rook?,Ravens,MCQ,False
Which of these is not a type of concealment charm?,Confundus Charm,MCQ,False
Regerminating Potions work wonders on which of the following?,Dead plants.,MCQ,False
In which of these scenarios would you use the Muffliato Charm?,Preventing Eavesdropping,MCQ,False
